Target,Common.name,Uniprot.ID,ChEMBL.ID,Target.Class,Probability.,Known.actives..3D.2D.,Compuesto
Serine/threonine-protein kinase B-raf,BRAF,P15056,CHEMBL5145,Kinase,0.0743922719035,102 /  0     ,G
Insulin-like growth factor I receptor,IGF1R,P08069,CHEMBL1957,Kinase,0.0743922719035,105 /  0     ,G
Beta secretase 2,BACE2,Q9Y5Z0,CHEMBL2525,Protease,0.0743922719035,70 /  0     ,G
Dual specificity mitogen-activated protein kinase kinase 1,MAP2K1,Q02750,CHEMBL3587,Kinase,0.0743922719035,151 /  0     ,G
Mitogen-activated protein kinase kinase kinase 1,MAP3K1,Q13233,CHEMBL3956,Kinase,0.0743922719035,2 /  0     ,G
Proto-oncogene tyrosine-protein kinase ROS,ROS1,P08922,CHEMBL5568,Kinase,0.0743922719035,17 /  0     ,G
"Serine/threonine protein phosphatase 2A, catalytic subunit, alpha isoform",PPP2CA,P67775,CHEMBL4703,Phosphatase,0.0743922719035,2 /  8     ,G
Receptor protein-tyrosine kinase erbB-2,ERBB2,P04626,CHEMBL1824,Kinase,0.0743922719035,59 /  0     ,G
Macrophage colony stimulating factor receptor,CSF1R,P07333,CHEMBL1844,Kinase,0.0743922719035,68 /  0     ,G
Stem cell growth factor receptor,KIT,P10721,CHEMBL1936,Kinase,0.0743922719035,27 /  0     ,G
P-glycoprotein 1,ABCB1,P08183,CHEMBL4302,Primary active transporter,0.121906255063,129 /  17     ,H
Androgen Receptor,AR,P10275,CHEMBL1871,Nuclear receptor,0.121906255063,79 /  55     ,H
Glucocorticoid receptor,NR3C1,P04150,CHEMBL2034,Nuclear receptor,0.121906255063,71 /  21     ,H
Telomerase reverse transcriptase,TERT,O14746,CHEMBL2916,Enzyme,0.121906255063,5 /  2     ,H
Isoleucyl-tRNA synthetase,IARS,P41252,CHEMBL3235,Enzyme,0.121906255063,0 /  4     ,H
Protein kinase C delta   (by homology),PRKCD,Q05655,CHEMBL2996,Kinase,0.121906255063,55 /  62     ,H
Protein kinase C alpha,PRKCA,P17252,CHEMBL299,Kinase,0.121906255063,54 /  246     ,H
HMG-CoA reductase,HMGCR,P04035,CHEMBL402,Oxidoreductase,0.121906255063,74 /  111     ,H
Proto-oncogene c-JUN,JUN,P05412,CHEMBL4977,Transcription factor,0.121906255063,8 /  6     ,H
Ribosomal protein S6 kinase alpha 5,RPS6KA5,O75582,CHEMBL4237,Kinase,0.121906255063,4 /  3     ,H
Inhibitor of nuclear factor kappa B kinase beta subunit,IKBKB,O14920,CHEMBL1991,Kinase,0.121906255063,20 /  6     ,H
Programmed cell death protein 4,PDCD4,Q53EL6,CHEMBL1781868,Unclassified protein,0.121906255063,0 /  8     ,H
Voltage-gated potassium channel subunit Kv1.3,KCNA3,P22001,CHEMBL4633,Voltage-gated ion channel,0.121906255063,9 /  2     ,H
Protein-tyrosine phosphatase 1B,PTPN1,P18031,CHEMBL335,Phosphatase,0.121906255063,98 /  51     ,H
Proteinase-activated receptor 2,F2RL1,P55085,CHEMBL5963,Family A G protein-coupled receptor,0.121906255063,0 /  1     ,H
11-beta-hydroxysteroid dehydrogenase 1,HSD11B1,P28845,CHEMBL4235,Enzyme,0.121906255063,81 /  25     ,H
Glutathione S-transferase Mu 1,GSTM1,P09488,CHEMBL2081,Enzyme,0.121906255063,0 /  1     ,H
Protein kinase C epsilon,PRKCE,Q02156,CHEMBL3582,Kinase,0.121906255063,15 /  28     ,H
Subtilisin/kexin type 7,PCSK7,Q16549,CHEMBL2232,Protease,0.121906255063,0 /  1     ,H
Arachidonate 5-lipoxygenase,ALOX5,P09917,CHEMBL215,Oxidoreductase,0.121906255063,26 /  5     ,H
Cyclooxygenase-2,PTGS2,P35354,CHEMBL230,Oxidoreductase,0.121906255063,38 /  15     ,H
Protein kinase C beta,PRKCB,P05771,CHEMBL3045,Kinase,0.121906255063,34 /  7     ,H
Mineralocorticoid receptor,NR3C2,P08235,CHEMBL1994,Nuclear receptor,0.121906255063,8 /  18     ,H
Serine/threonine-protein kinase mTOR,MTOR,P42345,CHEMBL2842,Kinase,0.121906255063,168 /  0     ,H
PI3-kinase p110-alpha subunit,PIK3CA,P42336,CHEMBL4005,Enzyme,0.121906255063,288 /  0     ,H
Potassium-transporting ATPase alpha chain 2,ATP12A,P54707,CHEMBL2933,Primary active transporter,0.121906255063,0 /  9     ,H
Bromodomain-containing protein 4,BRD4,O60885,CHEMBL1163125,Reader,0.121906255063,31 /  0     ,H
CREB-binding protein/p53,CREBBP,Q92793,CHEMBL5747,Writer,0.121906255063,10 /  0     ,H
Protein kinase C eta,PRKCH,P24723,CHEMBL3616,Kinase,0.121906255063,15 /  5     ,H
Protein kinase C theta,PRKCQ,Q04759,CHEMBL3920,Kinase,0.121906255063,31 /  7     ,H
Phospholipase A2 group IIA,PLA2G2A,P14555,CHEMBL3474,Enzyme,0.121906255063,17 /  8     ,H
Kappa Opioid receptor,OPRK1,P41145,CHEMBL237,Family A G protein-coupled receptor,0.121906255063,330 /  9     ,H
Muscle glycogen synthase,GYS1,P13807,CHEMBL4000,Enzyme,0.121906255063,5 /  0     ,H
P2X purinoceptor 7,P2RX7,Q99572,CHEMBL4805,Ligand-gated ion channel,0.121906255063,19 /  0     ,H
P2X purinoceptor 3,P2RX3,P56373,CHEMBL2998,Ligand-gated ion channel,0.121906255063,258 /  0     ,H
Leucine-rich repeat serine/threonine-protein kinase 2,LRRK2,Q5S007,CHEMBL1075104,Kinase,0.121906255063,82 /  0     ,H
Protein kinase C gamma,PRKCG,P05129,CHEMBL2938,Kinase,0.121906255063,18 /  4     ,H
MAP kinase p38 alpha,MAPK14,Q16539,CHEMBL260,Kinase,0.121906255063,125 /  0     ,H
Nerve growth factor receptor Trk-A,NTRK1,P04629,CHEMBL2815,Kinase,0.121906255063,135 /  0     ,H
Cyclin-dependent kinase 2,CDK2,P24941,CHEMBL301,Kinase,0.121906255063,105 /  0     ,H
Cyclin-dependent kinase 1,CDK1,P06493,CHEMBL308,Kinase,0.121906255063,114 /  0     ,H
Thrombin,F2,P00734,CHEMBL204,Protease,0.121906255063,38 /  9     ,H
Splicing factor 3B subunit 3,SF3B3,Q15393,CHEMBL1250378,Unclassified protein,0.121906255063,2 /  8     ,H
Apoptosis regulator Bcl-X,BCL2L1,Q07817,CHEMBL4625,Other ion channel,0.121906255063,4 /  3     ,H
Phosphodiesterase 4D,PDE4D,Q08499,CHEMBL288,Phosphodiesterase,0.121906255063,6 /  11     ,H
"Serine/threonine protein phosphatase 2A, catalytic subunit, alpha isoform",PPP2CA,P67775,CHEMBL4703,Phosphatase,0.121906255063,2 /  8     ,H
Phosphodiesterase 10A,PDE10A,Q9Y233,CHEMBL4409,Phosphodiesterase,0.121906255063,189 /  0     ,H
Sarcoplasmic/endoplasmic reticulum calcium ATPase 1,ATP2A1,O14983,CHEMBL3136,Hydrolase,0.121906255063,0 /  4     ,H
Progesterone receptor,PGR,P06401,CHEMBL208,Nuclear receptor,0.121906255063,8 /  40     ,H
C-C chemokine receptor type 1,CCR1,P32246,CHEMBL2413,Family A G protein-coupled receptor,0.121906255063,98 /  0     ,H
MAP kinase ERK2,MAPK1,P28482,CHEMBL4040,Kinase,0.121906255063,185 /  0     ,H
Beta secretase 2,BACE2,Q9Y5Z0,CHEMBL2525,Protease,0.121906255063,33 /  0     ,H
Protein Wnt-3a,WNT3A,P56704,CHEMBL1255137,Unclassified protein,0.121906255063,4 /  0     ,H
c-Jun N-terminal kinase 1,MAPK8,P45983,CHEMBL2276,Kinase,0.121906255063,33 /  0     ,H
c-Jun N-terminal kinase 3,MAPK10,P53779,CHEMBL2637,Kinase,0.121906255063,26 /  0     ,H
Matrix metalloproteinase 3,MMP3,P08254,CHEMBL283,Protease,0.121906255063,70 /  0     ,H
Matrix metalloproteinase 1,MMP1,P03956,CHEMBL332,Protease,0.121906255063,146 /  0     ,H
c-Jun N-terminal kinase 2,MAPK9,P45984,CHEMBL4179,Kinase,0.121906255063,21 /  0     ,H
Sodium channel protein type IX alpha subunit,SCN9A,Q15858,CHEMBL4296,Voltage-gated ion channel,0.121906255063,167 /  0     ,H
Tankyrase-2,TNKS2,Q9H2K2,CHEMBL6154,Enzyme,0.121906255063,8 /  0     ,H
Tubulin--tyrosine ligase,TTL,Q8NG68,CHEMBL5549,Enzyme,0.121906255063,7 /  15     ,H
Delta opioid receptor,OPRD1,P41143,CHEMBL236,Family A G protein-coupled receptor,0.121906255063,314 /  1     ,H
Tyrosine-protein kinase receptor TYRO3,TYRO3,Q06418,CHEMBL5314,Kinase,0.121906255063,31 /  0     ,H
Proto-oncogene tyrosine-protein kinase MER,MERTK,Q12866,CHEMBL5331,Kinase,0.121906255063,29 /  0     ,H
Sorbitol dehydrogenase,SORD,Q00796,CHEMBL2275,Enzyme,0.121906255063,40 /  0     ,H
Mitogen-activated protein kinase kinase kinase 14,MAP3K14,Q99558,CHEMBL5888,Kinase,0.121906255063,60 /  0     ,H
Eukaryotic translation initiation factor 2-alpha kinase 3,EIF2AK3,Q9NZJ5,CHEMBL6030,Kinase,0.121906255063,3 /  0     ,H
Corticosteroid binding globulin,SERPINA6,P08185,CHEMBL2421,Secreted protein,0.121906255063,10 /  6     ,H
Toll-like receptor (TLR7/TLR9),TLR9,Q9NR96,CHEMBL5804,Toll-like and Il-1 receptors,0.121906255063,8 /  2     ,H
Cyclin-dependent kinase 4/cyclin D1,CCND1 CDK4,P24385 P11802,CHEMBL1907601,Kinase,0.121906255063,37 /  0     ,H
Cyclin-dependent kinase 2/cyclin E,CCNE2 CDK2 CCNE1,O96020 P24941 P24864,CHEMBL2094126,Other cytosolic protein,0.121906255063,53 /  0     ,H
Vascular endothelial growth factor receptor 3,FLT4,P35916,CHEMBL1955,Kinase,0.121906255063,12 /  0     ,H
Tyrosine-protein kinase receptor FLT3,FLT3,P36888,CHEMBL1974,Kinase,0.121906255063,35 /  0     ,H
Dual specificity phosphatase Cdc25B,CDC25B,P30305,CHEMBL4804,Phosphatase,0.121906255063,4 /  16     ,H
Platelet-derived growth factor receptor beta,PDGFRB,P09619,CHEMBL1913,Kinase,0.121906255063,12 /  0     ,H
Stem cell growth factor receptor,KIT,P10721,CHEMBL1936,Kinase,0.121906255063,19 /  0     ,H
Adenosine A2a receptor,ADORA2A,P29274,CHEMBL251,Family A G protein-coupled receptor,0.121906255063,244 /  0     ,H
Cytochrome P450 19A1,CYP19A1,P11511,CHEMBL1978,Cytochrome P450,0.121906255063,11 /  60     ,H
"Heat shock protein 75 kDa, mitochondrial",TRAP1,Q12931,CHEMBL1075132,Other cytosolic protein,0.121906255063,3 /  0     ,H
Heat shock protein HSP 90-beta,HSP90AB1,P08238,CHEMBL4303,Other cytosolic protein,0.121906255063,36 /  0     ,H
Interleukin-8 receptor A,CXCR1,P25024,CHEMBL4029,Family A G protein-coupled receptor,0.121906255063,31 /  2     ,H
Liver glycogen phosphorylase,PYGL,P06737,CHEMBL2568,Enzyme,0.121906255063,80 /  0     ,H
Tyrosine-protein kinase ITK/TSK,ITK,Q08881,CHEMBL2959,Kinase,0.121906255063,26 /  0     ,H
Proto-oncogene vav,VAV1,P15498,CHEMBL3259472,Unclassified protein,0.121906255063,1 /  1     ,H
ATP-sensitive inward rectifier potassium channel 1,KCNJ1,P48048,CHEMBL1293292,Voltage-gated ion channel,0.121906255063,39 /  0     ,H
MAP kinase ERK1,MAPK3,P27361,CHEMBL3385,Kinase,0.121906255063,12 /  0     ,H
Tyrosine-protein kinase SRC,SRC,P12931,CHEMBL267,Kinase,0.121906255063,75 /  0     ,H
Cyclin-dependent kinase 1/cyclin B,CCNB3 CDK1 CCNB1 CCNB2,Q8WWL7 P06493 P14635 O95067,CHEMBL2094127,Other cytosolic protein,0.121906255063,8 /  0     ,H
Cyclin-dependent kinase 2/cyclin A,CDK2 CCNA1 CCNA2,P24941 P78396 P20248,CHEMBL2094128,Other cytosolic protein,0.121906255063,32 /  0     ,H
Ribosomal protein S6 kinase alpha 3,RPS6KA3,P51812,CHEMBL2345,Kinase,0.121906255063,6 /  0     ,H
Interleukin-8 receptor B,CXCR2,P25025,CHEMBL2434,Family A G protein-coupled receptor,0.121906255063,64 /  0     ,H
Serine/threonine-protein kinase/endoribonuclease IRE1,ERN1,O75460,CHEMBL1163101,Enzyme,0.121906255063,8 /  0     ,H
Low affinity sodium-glucose cotransporter,SLC5A4,Q9NY91,CHEMBL1770047,Electrochemical transporter,0.121906255063,14 /  0     ,H
Serine/threonine-protein kinase Aurora-A,AURKA,O14965,CHEMBL4722,Kinase,0.121906255063,71 /  0     ,H
Sodium/glucose cotransporter 1,SLC5A1,P13866,CHEMBL4979,Electrochemical transporter,0.121906255063,73 /  0     ,H
Tyrosine-protein kinase JAK1,JAK1,P23458,CHEMBL2835,Kinase,0.121906255063,86 /  0     ,H
Tyrosine-protein kinase JAK2,JAK2,O60674,CHEMBL2971,Kinase,0.121906255063,116 /  0     ,H
Sodium/glucose cotransporter 2,SLC5A2,P31639,CHEMBL3884,Electrochemical transporter,0.121906255063,185 /  0     ,H
Dipeptidyl peptidase IV,DPP4,P27487,CHEMBL284,Protease,0.121906255063,127 /  0     ,H
Pregnane X receptor,NR1I2,O75469,CHEMBL3401,Nuclear receptor,0.121906255063,5 /  0     ,H
Protein kinase C alpha,PRKCA,P17252,CHEMBL299,Kinase,0.0833055530239,73 /  266     ,I
Isoleucyl-tRNA synthetase,IARS,P41252,CHEMBL3235,Enzyme,0.0743922719035,0 /  4     ,I
Voltage-gated potassium channel subunit Kv1.3,KCNA3,P22001,CHEMBL4633,Voltage-gated ion channel,0.0743922719035,13 /  2     ,I
Protein kinase C delta,PRKCD,Q05655,CHEMBL2996,Kinase,0.0743922719035,69 /  66     ,I
Protein kinase C beta,PRKCB,P05771,CHEMBL3045,Kinase,0.0743922719035,49 /  9     ,I
Protein kinase C epsilon,PRKCE,Q02156,CHEMBL3582,Kinase,0.0743922719035,19 /  32     ,I
Telomerase reverse transcriptase,TERT,O14746,CHEMBL2916,Enzyme,0.0743922719035,9 /  2     ,I
Protein-tyrosine phosphatase 1B,PTPN1,P18031,CHEMBL335,Phosphatase,0.0743922719035,86 /  53     ,I
P-glycoprotein 1,ABCB1,P08183,CHEMBL4302,Primary active transporter,0.0743922719035,191 /  40     ,I
Androgen Receptor,AR,P10275,CHEMBL1871,Nuclear receptor,0.0743922719035,118 /  51     ,I
Glucocorticoid receptor,NR3C1,P04150,CHEMBL2034,Nuclear receptor,0.0743922719035,128 /  16     ,I
Protein kinase C gamma,PRKCG,P05129,CHEMBL2938,Kinase,0.0743922719035,25 /  7     ,I
Protein kinase C eta,PRKCH,P24723,CHEMBL3616,Kinase,0.0743922719035,16 /  6     ,I
Protein kinase C theta,PRKCQ,Q04759,CHEMBL3920,Kinase,0.0743922719035,45 /  8     ,I
Proto-oncogene c-JUN,JUN,P05412,CHEMBL4977,Transcription factor,0.0743922719035,7 /  6     ,I
Programmed cell death protein 4,PDCD4,Q53EL6,CHEMBL1781868,Unclassified protein,0.0743922719035,0 /  8     ,I
HMG-CoA reductase,HMGCR,P04035,CHEMBL402,Oxidoreductase,0.0743922719035,157 /  103     ,I
Cyclooxygenase-2,PTGS2,P35354,CHEMBL230,Oxidoreductase,0.0743922719035,45 /  15     ,I
Proteinase-activated receptor 2,F2RL1,P55085,CHEMBL5963,Family A G protein-coupled receptor,0.0743922719035,0 /  1     ,I
Glutathione S-transferase Mu 1,GSTM1,P09488,CHEMBL2081,Enzyme,0.0743922719035,0 /  1     ,I
C-C chemokine receptor type 1,CCR1,P32246,CHEMBL2413,Family A G protein-coupled receptor,0.0743922719035,153 /  0     ,I
Pregnane X receptor,NR1I2,O75469,CHEMBL3401,Nuclear receptor,0.0743922719035,6 /  0     ,I
Sarcoplasmic/endoplasmic reticulum calcium ATPase 1,ATP2A1,O14983,CHEMBL3136,Hydrolase,0.0743922719035,0 /  4     ,I
"Heat shock protein 75 kDa, mitochondrial",TRAP1,Q12931,CHEMBL1075132,Other cytosolic protein,0.0743922719035,6 /  0     ,I
Heat shock protein HSP 90-beta,HSP90AB1,P08238,CHEMBL4303,Other cytosolic protein,0.0743922719035,56 /  0     ,I
Matrix metalloproteinase 1,MMP1,P03956,CHEMBL332,Protease,0.0743922719035,197 /  0     ,I
Cyclin-dependent kinase 1/cyclin B,CCNB3 CDK1 CCNB1 CCNB2,Q8WWL7 P06493 P14635 O95067,CHEMBL2094127,Other cytosolic protein,0.0743922719035,19 /  0     ,I
Cyclin-dependent kinase 2/cyclin A,CDK2 CCNA1 CCNA2,P24941 P78396 P20248,CHEMBL2094128,Other cytosolic protein,0.0743922719035,52 /  0     ,I
Ribosomal protein S6 kinase alpha 3,RPS6KA3,P51812,CHEMBL2345,Kinase,0.0743922719035,8 /  0     ,I
Cyclin-dependent kinase 2,CDK2,P24941,CHEMBL301,Kinase,0.0743922719035,137 /  0     ,I
Cyclin-dependent kinase 1,CDK1,P06493,CHEMBL308,Kinase,0.0743922719035,147 /  0     ,I
Glycogen synthase kinase-3 beta,GSK3B,P49841,CHEMBL262,Kinase,0.0743922719035,112 /  3     ,I
Phosphodiesterase 4D,PDE4D,Q08499,CHEMBL288,Phosphodiesterase,0.0743922719035,9 /  11     ,I
Progesterone receptor,PGR,P06401,CHEMBL208,Nuclear receptor,0.0743922719035,28 /  40     ,I
Ribosomal protein S6 kinase alpha 5,RPS6KA5,O75582,CHEMBL4237,Kinase,0.0743922719035,3 /  3     ,I
Inhibitor of nuclear factor kappa B kinase beta subunit,IKBKB,O14920,CHEMBL1991,Kinase,0.0743922719035,21 /  6     ,I
Kappa Opioid receptor,OPRK1,P41145,CHEMBL237,Family A G protein-coupled receptor,0.0743922719035,536 /  15     ,I
MAP kinase ERK2,MAPK1,P28482,CHEMBL4040,Kinase,0.0743922719035,233 /  0     ,I
Proto-oncogene vav,VAV1,P15498,CHEMBL3259472,Unclassified protein,0.0743922719035,1 /  1     ,I
MAP kinase p38 alpha,MAPK14,Q16539,CHEMBL260,Kinase,0.0743922719035,205 /  0     ,I
Arachidonate 5-lipoxygenase,ALOX5,P09917,CHEMBL215,Oxidoreductase,0.0743922719035,42 /  5     ,I
Thrombin,F2,P00734,CHEMBL204,Protease,0.0743922719035,92 /  9     ,I
P2X purinoceptor 3,P2RX3,P56373,CHEMBL2998,Ligand-gated ion channel,0.0743922719035,314 /  0     ,I
11-beta-hydroxysteroid dehydrogenase 1,HSD11B1,P28845,CHEMBL4235,Enzyme,0.0743922719035,147 /  25     ,I
Interleukin-8 receptor A,CXCR1,P25024,CHEMBL4029,Family A G protein-coupled receptor,0.0743922719035,61 /  2     ,I
Period circadian protein homolog 2,PER2,O15055,CHEMBL3751648,Unclassified protein,0.0743922719035,16 /  0     ,I
Nerve growth factor receptor Trk-A,NTRK1,P04629,CHEMBL2815,Kinase,0.0743922719035,145 /  0     ,I
Protein-tyrosine phosphatase 2C,PTPN11,Q06124,CHEMBL3864,Phosphatase,0.0743922719035,2 /  2     ,I
CDK8/Cyclin C,CCNC CDK8,P24863 P49336,CHEMBL3038474,Kinase,0.0743922719035,8 /  0     ,I
PI3-kinase p110-alpha subunit,PIK3CA,P42336,CHEMBL4005,Enzyme,0.0743922719035,424 /  0     ,I
Cell division protein kinase 8,CDK8,P49336,CHEMBL5719,Kinase,0.0743922719035,14 /  0     ,I
PI3-kinase p110-delta subunit,PIK3CD,O00329,CHEMBL3130,Enzyme,0.0743922719035,88 /  0     ,I
Apoptosis regulator Bcl-X,BCL2L1,Q07817,CHEMBL4625,Other ion channel,0.0743922719035,5 /  3     ,I
Splicing factor 3B subunit 3,SF3B3,Q15393,CHEMBL1250378,Unclassified protein,0.0743922719035,1 /  9     ,I
Tubulin--tyrosine ligase,TTL,Q8NG68,CHEMBL5549,Enzyme,0.0743922719035,7 /  14     ,I
Bromodomain-containing protein 4,BRD4,O60885,CHEMBL1163125,Reader,0.0743922719035,43 /  0     ,I
CREB-binding protein/p53,CREBBP,Q92793,CHEMBL5747,Writer,0.0743922719035,14 /  0     ,I
Leucine-rich repeat serine/threonine-protein kinase 2,LRRK2,Q5S007,CHEMBL1075104,Kinase,0.0743922719035,117 /  0     ,I
Renin,REN,P00797,CHEMBL286,Protease,0.0743922719035,440 /  0     ,I
Thrombin and coagulation factor X,F10,P00742,CHEMBL244,Protease,0.0743922719035,150 /  0     ,I
Poly [ADP-ribose] polymerase-1,PARP1,P09874,CHEMBL3105,Enzyme,0.0743922719035,86 /  0     ,I
Transient receptor potential cation channel subfamily V member 4,TRPV4,Q9HBA0,CHEMBL3119,Voltage-gated ion channel,0.0743922719035,6 /  5     ,I
MAP kinase ERK1,MAPK3,P27361,CHEMBL3385,Kinase,0.0743922719035,14 /  0     ,I
Pyruvate dehydrogenase kinase isoform 1,PDK1,Q15118,CHEMBL4766,Kinase,0.0743922719035,13 /  0     ,I
Adenosine A3 receptor,ADORA3,P0DMS8,CHEMBL256,Family A G protein-coupled receptor,0.0743922719035,216 /  0     ,I
ADAM17,ADAM17,P78536,CHEMBL3706,Protease,0.0743922719035,113 /  0     ,I
CDK2/Cyclin A,CCNA2 CDK2,P20248 P24941,CHEMBL3038469,Kinase,0.0743922719035,34 /  0     ,I
Stem cell growth factor receptor,KIT,P10721,CHEMBL1936,Kinase,0.0743922719035,28 /  0     ,I
Caspase-3,CASP3,P42574,CHEMBL2334,Protease,0.0743922719035,53 /  0     ,I
Peptide N-myristoyltransferase 1,NMT1,P30419,CHEMBL2593,Enzyme,0.0743922719035,7 /  0     ,I
Caspase-7,CASP7,P55210,CHEMBL3468,Protease,0.0743922719035,35 /  0     ,I
PI3-kinase p110-beta subunit,PIK3CB,P42338,CHEMBL3145,Enzyme,0.0743922719035,115 /  0     ,I
Brain adenylate cyclase 1,ADCY1,Q08828,CHEMBL2899,Enzyme,0.0743922719035,37 /  31     ,I
Delta opioid receptor,OPRD1,P41143,CHEMBL236,Family A G protein-coupled receptor,0.0743922719035,501 /  1     ,I
Potassium channel subfamily K member 3,KCNK3,O14649,CHEMBL2321613,Voltage-gated ion channel,0.0743922719035,26 /  0     ,I
Macrophage colony stimulating factor receptor,CSF1R,P07333,CHEMBL1844,Kinase,0.0743922719035,62 /  0     ,I
Mammalian target of Rapamycin (mTORC1),FKBP1A MTOR,P62942 P42345,CHEMBL2221341,Kinase,0.0743922719035,15 /  0     ,I
Sorbitol dehydrogenase,SORD,Q00796,CHEMBL2275,Enzyme,0.0743922719035,46 /  0     ,I
Matrix metalloproteinase 3,MMP3,P08254,CHEMBL283,Protease,0.0743922719035,97 /  0     ,I
Serine/threonine-protein kinase PIM1,PIM1,P11309,CHEMBL2147,Kinase,0.0743922719035,129 /  0     ,I
Tyrosine-protein kinase JAK3,JAK3,P52333,CHEMBL2148,Kinase,0.0743922719035,144 /  0     ,I
Tyrosine-protein kinase JAK2,JAK2,O60674,CHEMBL2971,Kinase,0.0743922719035,180 /  0     ,I
Muscle glycogen synthase,GYS1,P13807,CHEMBL4000,Enzyme,0.0743922719035,5 /  0     ,I
Serine/threonine-protein kinase PIM2,PIM2,Q9P1W9,CHEMBL4523,Kinase,0.0743922719035,95 /  0     ,I
Serine/threonine-protein kinase Chk1,CHEK1,O14757,CHEMBL4630,Kinase,0.0743922719035,98 /  0     ,I
P2X purinoceptor 7,P2RX7,Q99572,CHEMBL4805,Ligand-gated ion channel,0.0743922719035,24 /  0     ,I
Serine/threonine-protein kinase PIM3,PIM3,Q86V86,CHEMBL5407,Kinase,0.0743922719035,69 /  0     ,I
Beta secretase 2,BACE2,Q9Y5Z0,CHEMBL2525,Protease,0.0743922719035,71 /  0     ,I
"Nitric oxide synthase, inducible   (by homology)",NOS2,P35228,CHEMBL4481,Enzyme,0.0743922719035,13 /  13     ,I
Peroxisome proliferator-activated receptor delta,PPARD,Q03181,CHEMBL3979,Nuclear receptor,0.0743922719035,0 /  3     ,I
Histone deacetylase 6,HDAC6,Q9UBN7,CHEMBL1865,Eraser,0.0743922719035,51 /  0     ,I
Cyclin-dependent kinase 4/cyclin D1,CCND1 CDK4,P24385 P11802,CHEMBL1907601,Kinase,0.0743922719035,52 /  0     ,I
Histone deacetylase 2,HDAC2,Q92769,CHEMBL1937,Eraser,0.0743922719035,22 /  0     ,I
Nociceptin receptor,OPRL1,P41146,CHEMBL2014,Family A G protein-coupled receptor,0.0743922719035,117 /  0     ,I
Cyclin-dependent kinase 2/cyclin E,CCNE2 CDK2 CCNE1,O96020 P24941 P24864,CHEMBL2094126,Other cytosolic protein,0.0743922719035,60 /  0     ,I
3-phosphoinositide dependent protein kinase-1,PDPK1,O15530,CHEMBL2534,Kinase,0.0743922719035,37 /  0     ,I
Histone deacetylase 1,HDAC1,Q13547,CHEMBL325,Eraser,0.0743922719035,56 /  0     ,I
Protein Wnt-3a,WNT3A,P56704,CHEMBL1255137,Unclassified protein,0.0743922719035,12 /  0     ,I
c-Jun N-terminal kinase 1,MAPK8,P45983,CHEMBL2276,Kinase,0.0743922719035,50 /  0     ,I
c-Jun N-terminal kinase 3,MAPK10,P53779,CHEMBL2637,Kinase,0.0743922719035,39 /  0     ,I
